#
# LHC charged hadron R_AA
# p_t                 R_AA
#
  10.00000            0.1926189    
  14.00000            0.24277280000000001          
  18.00000            0.27756973333333335          
  22.00000            0.29159270000000004          
  26.00000            0.32021950000000005          
  30.00000            0.34528896666666670          
  34.00000            0.37722546666666662          
  38.00000            0.40926899999999994          
  42.00000            0.44030436666666667          
  46.00000            0.48391966666666669          
  50.00000            0.49535560000000006          
  56.00000            0.52023156666666670          
  64.00000            0.53894266666666668          
  72.00000            0.58663703333333339          
  80.00000            0.63023540000000000          
  88.00000            0.64838103333333341          
  96.00000            0.67231433333333335          
 104.00000            0.67452436666666660          
 116.00000            0.70571573333333326          
 132.00000            0.74013626666666665          
 175.0000             0.79349943333333339     
 225.0000             0.85476946666666664     
 275.0000             0.90743686666666667     
 325.0000             1.0013766000000002     
 375.0000             1.0554370666666666     
 450.0000             1.1286383333333332      
 550.0000             1.1846926666666666      
 650.0000             1.3506786666666668      
 750.0000             1.5403039999999999 
 850.0000             1.8610579999999999 
