# ALICE, 5.02 TeV, 10<pT<200 GeV, R=0.4, |eta| < 0.9 - jetR
# pT    q          g         

  1.000E+01  3.955E+07  7.828E+07  
  1.500E+01  7.546E+06  1.582E+07  
  2.000E+01  2.207E+06  4.742E+06  
  2.500E+01  8.270E+05  1.773E+06  
  3.000E+01  3.662E+05  7.898E+05  
  3.500E+01  1.812E+05  3.836E+05  
  4.000E+01  9.783E+04  2.050E+05  
  4.500E+01  5.601E+04  1.157E+05  
  5.000E+01  3.430E+04  7.021E+04  
  5.500E+01  2.169E+04  4.355E+04  
  6.000E+01  1.428E+04  2.833E+04  
  6.500E+01  9.730E+03  1.898E+04  
  7.000E+01  6.726E+03  1.289E+04  
  7.500E+01  4.781E+03  9.014E+03  
  8.000E+01  3.496E+03  6.477E+03  
  8.500E+01  2.570E+03  4.682E+03  
  9.000E+01  1.934E+03  3.473E+03  
  9.500E+01  1.467E+03  2.577E+03  
  1.000E+02  1.135E+03  1.967E+03  
  1.050E+02  8.866E+02  1.511E+03  
  1.100E+02  6.998E+02  1.176E+03  
  1.150E+02  5.553E+02  9.168E+02  
  1.200E+02  4.456E+02  7.213E+02  
  1.250E+02  3.611E+02  5.779E+02  
  1.300E+02  2.944E+02  4.618E+02  
  1.350E+02  2.403E+02  3.702E+02  
  1.400E+02  2.000E+02  3.036E+02  
  1.450E+02  1.658E+02  2.464E+02  
  1.500E+02  1.384E+02  2.023E+02  
  1.550E+02  1.172E+02  1.695E+02  
  1.600E+02  9.827E+01  1.389E+02  
  1.650E+02  8.344E+01  1.161E+02  
  1.700E+02  7.090E+01  9.735E+01  
  1.750E+02  6.093E+01  8.233E+01  
  1.800E+02  5.258E+01  7.028E+01  
  1.850E+02  4.513E+01  5.911E+01  
  1.900E+02  3.897E+01  5.018E+01  
  1.950E+02  3.361E+01  4.244E+01  
  2.000E+02  2.942E+01  3.667E+01  
